PID,Gender information,Age (the number of full years),Mother tongue,Profession/field of studies,Are you right or left-handed?,Which hand do you normally use the mouse with?,"In this study, which language did you type in?",Do you have a normal or corrected vision?,At which age did you start working with computers? ,Do you have permanent access to a computer:,"How many fingers do you usually use for typing, including thumbs?",Do you use the touch typing systems with all 10 fingers?,How many years of experience do you have in using the touch typing systems with all 10 fingers?,Do you use touch typing every time you type something on a computer?,Have you taken a course to learn typing on a computer?,Have you taught touch typing to yourself?,What did you do to learn touch typing?,Are you able to type without looking at the keyboard?,On how many days per week do you use a computer?,How many hours do you usually use a computer on a normal day?,How many hours per day do you usually spend typing in your free time?,How many hours per day do you usually spend typing at work?,Do you type in languages other than your mother tongue?,Which languages do you type in other than your mother language?,How many hours do you spend weekly typing in a foreign language?,How many years have you been typing in a foreign language?,Do you use a different keyboard layout for different languages? Which?,What tasks do you perform when using the keyboard?,"typing papers, reports, etc.",typing e-mails ,chatting,Is the ability to type fast important to you?,Do you specifically practice typing?,How do you practice?,How often do you practice?,How many hours at once do you practice?
3,Female,22,German,Human Computer Interaction,Right-handed,Right hand,English,Corrected,12,At home;At work,10,Yes,6,No,No,Yes,A lot of coding and writing,Yes,7,5,2,3,Yes,English ,35,8,No,Browsing the web;E-mailing;Programming;Chatting;Thesis report or paper writing,10,2,2,5,No,,,
4,Female,27,french,environmental engineer,Right-handed,Right hand,English,Corrected,14,"At home, At work",10,Yes,13,Yes,Yes,No,,Yes,5,8,0,8,Yes,"english, german",5,10,No,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",25,2,5,3,No,,,
6,Female,24,French,Studies in business administration,Right-handed,Right hand,English,Normal,16,At home,10,Yes,10,Yes,Yes,Yes,type excercises,Yes,7,8,1,3,Yes,english,6,3,no,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",5,1,1,5,No,,,
8,Female,27,German,Computer science,Right-handed,Right hand,English,Corrected,13,At home;At work,10,Yes,13,Yes,Yes,No,,No,7,10,2,5,Yes,English,35,6,No,"Browsing the web;E-mailing;Programming;Using Microsoft Office;Chatting;Thesis report or paper writing;Using google docs, pages (Mac)",2,1,1,5,No,,,
10,Male,25,German,Student,Right-handed,Right hand,English,Normal,12,At home,10,Yes,8,Yes,Yes,Yes,learning software,Yes,7,9,0.5,8.5,Yes,English,30,3,No,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",20,5,2,5,No,,,
12,Female,24,Chinese,CS,Right-handed,Right hand,English,Corrected,19,At home,10,Yes,5,Yes,No,Yes,BY MYSELF THOUGH INTERNET,No,7,4,2,1,Yes,ENGLISH,5,5,no,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",2,1,3,4,No,,,
13,Female,24,German,Computer Science,Right-handed,Right hand,German,Normal,8,At home;At work,10,Yes,10,Yes,Yes,No,,Yes,7,5,2,3,Yes,English,5,10,No,Browsing the web;E-mailing;Programming;Using Microsoft Office;Chatting;Thesis report or paper writing,20,5,2,5,No,,,
18,Male,28,Swiss German,IT,Right-handed,Right hand,English,Normal,13,"At home, At work",10,Yes,13,Yes,Yes,No,,Yes,7,6,0.5,6,Yes,"German, English",3,10,no,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, File Browsing",0.5,2,0.5,5,No,,,
26,Male,28,German,Phd Student,Right-handed,Right hand,English,Normal,10,At home;At work,10,Yes,11,Yes,Yes,No,,Yes,7,10,2,8,Yes,"English, Russian",7,10,No,Browsing the web;E-mailing;Programming;Using Microsoft Office;Chatting;Thesis report or paper writing,1,3,4,5,Yes,Online exercises,once per month,2
27,Male,25,German,Program Manager,Right-handed,Right hand,English,Corrected,7,"At home, At work",10,Yes,3,Yes,No,Yes,Freely available exercises online,Yes,6,10,0.5,5,Yes,English,15,5,No,"Browsing the web, E-mailing, Programming, Using Microsoft Office, Chatting, Thesis report or paper writing",1,5,20,5,No,,,
