input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1439543977.975	267678	0	0	0	Shift_L	Shift_L	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	0	0	0.775
1439543978.163	267678	0	1	188	V	V	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	188	0	0.775
1439543978.287	267678	0	2	123	a	a	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	312	0	0.775
1439543978.443	267678	0	3	156	o	o	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	468	0	0.775
1439543978.537	267678	0	4	93	i	i	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	562	0	0.775
1439543978.755	267678	0	5	218	n	n	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	780	0	0.775
1439543979.192	267678	0	6	436		BackSpace	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	1217	0	0.775
1439543979.379	267678	0	7	187		BackSpace	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	1404	0	0.775
1439543979.535	267678	0	8	156		BackSpace	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	1560	0	0.775
1439543979.723	267678	0	9	187		BackSpace	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	1748	0	0.775
1439543980.128	267678	0	10	404	o	o	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	2153	0	0.775
1439543980.253	267678	0	11	125	i	i	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	2278	0	0.775
1439543980.471	267678	0	12	217	n	n	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	2496	0	0.775
1439543980.627	267678	0	13	156	_	space	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	2652	0	0.775
1439543980.752	267678	0	14	125	p	p	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	2777	0	0.775
1439543980.877	267678	0	15	125	a	a	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	2902	0	0.775
1439543980.971	267678	0	16	93	l	l	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	2996	0	0.775
1439543981.095	267678	0	17	124	a	a	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	3120	0	0.775
1439543981.22	267678	0	18	125	t	t	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	3245	0	0.775
1439543981.626	267678	0	19	405	a	a	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	3651	0	0.775
1439543981.875	267678	0	20	249	_	space	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	3900	0	0.775
1439543982.905	267678	0	21	1029	l	l	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	4930	0	0.775
1439543983.373	267678	0	22	467	c	c	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	5398	0	0.775
1439543984.371	267678	0	23	998	t	t	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	6396	0	0.775
1439543984.902	267678	0	24	530	d	d	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	6927	0	0.775
1439543985.027	267678	0	25	125	d	d	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	7052	0	0.775
1439543985.183	267678	0	26	156	y	y	Voin palata lctddy aikaisemmin.	35.94	334.58	Voin palata lctddy aikaisemmin.	Mix	7208	0	0.775
