input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1438942819.947	364976	0	0	0	Shift_L	Shift_L	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	0	0	0.944444444444444
1438942820.696	364976	0	1	749	L	L	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	749	0	0.944444444444444
1438942820.883	364976	0	2	186	ä	adiaeresis	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	935	0	0.944444444444444
1438942821.133	364976	0	3	250	h	h	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	1185	0	0.944444444444444
1438942821.258	364976	0	4	125	e	e	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	1310	0	0.944444444444444
1438942821.819	364976	0	5	561	t	t	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	1871	0	0.944444444444444
1438942821.944	364976	0	6	125	t	t	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	1996	0	0.944444444444444
1438942822.007	364976	0	7	62	ä	adiaeresis	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	2059	0	0.944444444444444
1438942822.194	364976	0	8	187	i	i	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	2246	0	0.944444444444444
1438942822.319	364976	0	9	125	s	s	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	2371	0	0.944444444444444
1438942822.412	364976	0	10	92	i	i	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	2464	0	0.944444444444444
1438942822.506	364976	0	11	94	t	t	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	2559	0	0.944444444444444
1438942822.568	364976	0	12	62	k	k	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	2621	0	0.944444444444444
1438942822.662	364976	0	13	93	o	o	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	2714	0	0.944444444444444
1438942822.724	364976	0	14	62	_	space	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	2776	0	0.944444444444444
1438942822.849	364976	0	15	125	m	m	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	2901	0	0.944444444444444
1438942823.036	364976	0	16	187	i	i	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	3088	0	0.944444444444444
1438942823.099	364976	0	17	62	n	n	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	3151	0	0.944444444444444
1438942823.192	364976	0	18	92	u	u	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	3244	0	0.944444444444444
1438942823.442	364976	0	19	250	l	l	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	3494	0	0.944444444444444
1438942823.535	364976	0	20	93	l	l	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	3588	0	0.944444444444444
1438942823.691	364976	0	21	155	e	e	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	3743	0	0.944444444444444
1438942823.785	364976	0	22	94	_	space	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	3838	0	0.944444444444444
1438942823.91	364976	0	23	125	s	s	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	3963	0	0.944444444444444
1438942824.003	364976	0	24	92	ä	adiaeresis	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	4055	0	0.944444444444444
1438942824.191	364976	0	25	187	h	h	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	4243	0	0.944444444444444
1438942824.44	364976	0	26	249	k	k	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	4493	0	0.944444444444444
1438942824.627	364976	0	27	187	ö	odiaeresis	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	4680	0	0.944444444444444
1438942824.846	364976	0	28	218	p	p	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	4898	0	0.944444444444444
1438942824.971	364976	0	29	125	o	o	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	5023	0	0.944444444444444
1438942825.127	364976	0	30	156	s	s	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	5180	0	0.944444444444444
1438942825.189	364976	0	31	61	t	t	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	5241	0	0.944444444444444
1438942825.376	364976	0	32	187	i	i	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	5428	0	0.944444444444444
1438942825.595	364976	0	33	219	a	a	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	5648	0	0.944444444444444
1438942825.844	364976	0	34	249	Shift_R	Shift_R	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	5897	0	0.944444444444444
1438942825.969	364976	0	35	125	?	question	Lähettäisitko minulle sähköpostia?	67.75	218.4	Lähettäisitko minulle sähköpostia?	Sentences	6022	0	0.944444444444444
1438942826.718	364976	1	0	0	Shift_L	Shift_L	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	0	0	0.958333333333333
1438942826.905	364976	1	1	187	K	K	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	187	0	0.958333333333333
1438942827.092	364976	1	2	187	i	i	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	374	0	0.958333333333333
1438942827.217	364976	1	3	125	i	i	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	499	0	0.958333333333333
1438942827.342	364976	1	4	125	t	t	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	624	0	0.958333333333333
1438942827.436	364976	1	5	94	o	o	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	718	0	0.958333333333333
1438942827.56	364976	1	6	123	s	s	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	842	0	0.958333333333333
1438942827.623	364976	1	7	62	_	space	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	904	0	0.958333333333333
1438942827.779	364976	1	8	156	h	h	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	1061	0	0.958333333333333
1438942827.872	364976	1	9	92	u	u	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	1154	0	0.958333333333333
1438942828.06	364976	1	10	187	o	o	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	1342	0	0.958333333333333
1438942828.249	364976	1	11	189	l	l	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	1531	0	0.958333333333333
1438942828.342	364976	1	12	92	e	e	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	1624	0	0.958333333333333
1438942828.436	364976	1	13	94	n	n	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	1718	0	0.958333333333333
1438942828.592	364976	1	14	155	p	p	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	1874	0	0.958333333333333
1438942828.748	364976	1	15	155	i	i	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	2029	0	0.958333333333333
1438942828.904	364976	1	16	156	d	d	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	2186	0	0.958333333333333
1438942829.029	364976	1	17	125	o	o	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	2311	0	0.958333333333333
1438942829.122	364976	1	18	92	s	s	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	2404	0	0.958333333333333
1438942829.216	364976	1	19	94	t	t	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	2498	0	0.958333333333333
1438942829.341	364976	1	20	125	a	a	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	2623	0	0.958333333333333
1438942829.466	364976	1	21	125	s	s	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	2748	0	0.958333333333333
1438942829.59	364976	1	22	123	i	i	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	2871	0	0.958333333333333
1438942829.84	364976	1	23	250	.	period	Kiitos huolenpidostasi.	88.4	142.36	Kiitos huolenpidostasi.	Sentences	3121	0	0.958333333333333
1438942830.526	364976	2	0	0	Shift_L	Shift_L	Oletko paikalla tänään?	83.43	158.11	Oletko paikalla tänään?	Sentences	0	0	0.92
1438942830.682	364976	2	1	155	O	O	Oletko paikalla tänään?	83.43	158.11	Oletko paikalla tänään?	Sentences	155	0	0.92
1438942830.87	364976	2	2	187	l	l	Oletko paikalla tänään?	83.43	158.11	Oletko paikalla tänään?	Sentences	343	0	0.92
