input_time	user_id	stimulus_id	input_index	iki	input	key_symbol	current_input	wpm	sd_iki	stimulus	condition	input_time_ms	uer	ke
1439988083.935	372392	0	0	0	g	g	gvjbhj	35.77	287.05	gvjbhj	Random	0	0	1
1439988084.185	372392	0	1	250	v	v	gvjbhj	35.77	287.05	gvjbhj	Random	250	0	1
1439988084.372	372392	0	2	187	j	j	gvjbhj	35.77	287.05	gvjbhj	Random	437	0	1
1439988084.84	372392	0	3	467	b	b	gvjbhj	35.77	287.05	gvjbhj	Random	904	0	1
1439988085.058	372392	0	4	218	h	h	gvjbhj	35.77	287.05	gvjbhj	Random	1123	0	1
1439988085.277	372392	0	5	218	j	j	gvjbhj	35.77	287.05	gvjbhj	Random	1342	0	1
1439988089.239	372392	1	0	0	y	y	yrchgp	48.1	207.73	yrchgp	Random	0	0	1
1439988089.333	372392	1	1	93	r	r	yrchgp	48.1	207.73	yrchgp	Random	93	0	1
1439988089.582	372392	1	2	249	c	c	yrchgp	48.1	207.73	yrchgp	Random	342	0	1
1439988089.801	372392	1	3	219	h	h	yrchgp	48.1	207.73	yrchgp	Random	562	0	1
1439988089.988	372392	1	4	186	g	g	yrchgp	48.1	207.73	yrchgp	Random	748	0	1
1439988090.237	372392	1	5	249	p	p	yrchgp	48.1	207.73	yrchgp	Random	997	0	1
1439988092.609	372392	2	0	0	o	o	oxbcqh	23.67	588.2	oxbcqh	Random	0	0	1
1439988092.733	372392	2	1	124	x	x	oxbcqh	23.67	588.2	oxbcqh	Random	124	0	1
1439988092.921	372392	2	2	187	b	b	oxbcqh	23.67	588.2	oxbcqh	Random	312	0	1
1439988093.077	372392	2	3	155	c	c	oxbcqh	23.67	588.2	oxbcqh	Random	467	0	1
1439988093.389	372392	2	4	312	q	q	oxbcqh	23.67	588.2	oxbcqh	Random	779	0	1
1439988094.637	372392	2	5	1248	h	h	oxbcqh	23.67	588.2	oxbcqh	Random	2028	0	1
1439988096.977	372392	3	0	0	v	v	vtljjo	51.28	191.39	vtljjo	Random	0	0	1
1439988097.164	372392	3	1	187	t	t	vtljjo	51.28	191.39	vtljjo	Random	187	0	1
1439988097.351	372392	3	2	187	l	l	vtljjo	51.28	191.39	vtljjo	Random	374	0	1
1439988097.601	372392	3	3	250	j	j	vtljjo	51.28	191.39	vtljjo	Random	624	0	1
1439988097.725	372392	3	4	123	j	j	vtljjo	51.28	191.39	vtljjo	Random	747	0	1
1439988097.913	372392	3	5	188	o	o	vtljjo	51.28	191.39	vtljjo	Random	936	0	1
1439988100.284	372392	4	0	0	q	q	qwcbcr	41.59	237.96	qwcbcr	Random	0	0	1
1439988100.44	372392	4	1	156	w	w	qwcbcr	41.59	237.96	qwcbcr	Random	156	0	1
1439988100.658	372392	4	2	217	c	c	qwcbcr	41.59	237.96	qwcbcr	Random	374	0	1
1439988100.939	372392	4	3	280	b	b	qwcbcr	41.59	237.96	qwcbcr	Random	654	0	1
1439988101.251	372392	4	4	312	c	c	qwcbcr	41.59	237.96	qwcbcr	Random	967	0	1
1439988101.438	372392	4	5	187	r	r	qwcbcr	41.59	237.96	qwcbcr	Random	1154	0	1
1439988103.591	372392	5	0	0	u	u	uchedt	30.77	452.49	uchedt	Random	0	0	1
1439988103.747	372392	5	1	155	c	c	uchedt	30.77	452.49	uchedt	Random	155	0	1
1439988103.872	372392	5	2	125	h	h	uchedt	30.77	452.49	uchedt	Random	280	0	1
1439988104.839	372392	5	3	967	e	e	uchedt	30.77	452.49	uchedt	Random	1247	0	1
1439988104.995	372392	5	4	155	d	d	uchedt	30.77	452.49	uchedt	Random	1403	0	1
1439988105.151	372392	5	5	156	t	t	uchedt	30.77	452.49	uchedt	Random	1559	0	1
1439988106.617	372392	6	0	0	a	a	aekbru	59.11	169.91	aekbru	Random	0	0	1
1439988106.773	372392	6	1	155	e	e	aekbru	59.11	169.91	aekbru	Random	155	0	1
1439988106.929	372392	6	2	155	k	k	aekbru	59.11	169.91	aekbru	Random	311	0	1
1439988107.179	372392	6	3	250	b	b	aekbru	59.11	169.91	aekbru	Random	561	0	1
1439988107.273	372392	6	4	94	r	r	aekbru	59.11	169.91	aekbru	Random	655	0	1
1439988107.429	372392	6	5	155	u	u	aekbru	59.11	169.91	aekbru	Random	811	0	1
1439988109.519	372392	7	0	0	b	b	blpsdt	46.6	208.41	blpsdt	Random	0	0	1
1439988109.737	372392	7	1	217	l	l	blpsdt	46.6	208.41	blpsdt	Random	217	0	1
1439988109.925	372392	7	2	187	p	p	blpsdt	46.6	208.41	blpsdt	Random	405	0	1
1439988110.081	372392	7	3	156	s	s	blpsdt	46.6	208.41	blpsdt	Random	562	0	1
1439988110.33	372392	7	4	248	d	d	blpsdt	46.6	208.41	blpsdt	Random	810	0	1
1439988110.549	372392	7	5	219	t	t	blpsdt	46.6	208.41	blpsdt	Random	1029	0	1
1439988113.201	372392	8	0	0	b	b	bnadtv	57.01	181.36	bnadtv	Random	0	0	1
1439988113.419	372392	8	1	217	n	n	bnadtv	57.01	181.36	bnadtv	Random	217	0	1
1439988113.481	372392	8	2	62	a	a	bnadtv	57.01	181.36	bnadtv	Random	279	0	1
1439988113.606	372392	8	3	125	d	d	bnadtv	57.01	181.36	bnadtv	Random	404	0	1
1439988113.856	372392	8	4	250	t	t	bnadtv	57.01	181.36	bnadtv	Random	654	0	1
1439988114.043	372392	8	5	187	v	v	bnadtv	57.01	181.36	bnadtv	Random	842	0	1
1439988116.539	372392	9	0	0	w	w	weqppe	45.24	248.83	weqppe	Random	0	0	1
1439988116.695	372392	9	1	155	e	e	weqppe	45.24	248.83	weqppe	Random	155	0	1
1439988116.882	372392	9	2	187	q	q	weqppe	45.24	248.83	weqppe	Random	342	0	1
